practice_accuracy,practice_frequency,recency
1.0,0.001793400286944046,1.0
0.5,0.0010760401721664275,1.0
1.0,0.0014347202295552368,1.0
0.5,0.001793400286944046,1.0
1.0,0.0010760401721664275,1.0
1.0,0.0010760401721664275,1.0
1.0,0.0010760401721664275,1.0
1.0,0.0007173601147776184,0.016072299869860782
1.0,0.002510760401721664,0.00021515665621601107
0.75,0.001793400286944046,0.00021515665621601107
0.8888888888888888,0.001793400286944046,0.00021515665621601107
0.8,0.002510760401721664,0.00021515665621601107
0.8,0.0014347202295552368,0.00021515665621601107
1.0,0.0014347202295552368,0.00021515665621601107
1.0,0.0014347202295552368,0.00021515665621601107
1.0,0.0014347202295552368,2.2785122443450493e-06
0.0,0.0032281205164992827,4.918693098903598e-06
1.0,0.005021520803443328,4.918693098903598e-06
0.0,0.0,0.0002176521696264842
1.0,0.0,0.0002176521696264842
1.0,0.0028694404591104736,0.05912424622384516
1.0,0.002152080344332855,0.0617977729242654
1.0,0.002510760401721664,0.0617977729242654
1.0,0.0007173601147776184,0.01608105225022795
1.0,0.0028694404591104736,0.02455002909443135
1.0,0.0007173601147776184,0.02826140003872024
1.0,0.0007173601147776184,0.02455002909443135
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.006456241032998565,0.15634677234816347
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.004662840746054519,0.15634677234816347
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.001793400286944046,0.23680932190716103
1.0,0.005738880918220947,0.24028640392575362
1.0,0.0007173601147776184,0.02455002909443135
1.0,0.001793400286944046,0.24035443379133478
1.0,0.001793400286944046,0.0245396130384572
1.0,0.0014347202295552368,0.24035443379133478
1.0,0.0010760401721664275,0.24035443379133478
1.0,0.0010760401721664275,0.2618265906791272
1.0,0.0007173601147776184,0.30967256296207457
1.0,0.0007173601147776184,0.01608105225022795
1.0,0.0007173601147776184,0.01608105225022795
1.0,0.002510760401721664,0.02455002909443135
1.0,0.002152080344332855,0.0617977729242654
1.0,0.002510760401721664,0.23680932190716103
1.0,0.0007173601147776184,0.2618265906791272
0.0,0.004662840746054519,8.643879784102646e-06
0.0,0.0032281205164992827,8.643879784102646e-06
1.0,0.0,0.00022137735631168326
1.0,0.0,0.00022137735631168326
0.0,0.00430416068866571,8.643879784102646e-06
0.0,0.0,0.00022137735631168326
1.0,0.005021520803443328,1.8445099120888494e-06
1.0,0.0003586800573888092,1.8445099120888494e-06
0.5,0.005380200860832138,4.701691932775498e-07
1.0,0.002510760401721664,1.1971230998066845e-05
0.0,0.005380200860832138,6.546201844864348e-06
0.0,0.0032281205164992827,1.1971230998066845e-05
